Description,Localisation,Prix,Surface Total,Nombre de Salles de Bain,Nombre de Chambres,Type,Secteur,Nombre d'Étage,Âge du Bien,Surface Habitable,Nombre de Salons
R3 commerciale à vendre,Had Soualem,150 000 DH,120,3,6,"Maisons et Villas, à vendre",Toute la ville,3,Neuf,120,4
منزل للبيع المنزه 2,Essaouira,1 100 000 DH,,2,4,"Maisons et Villas, à vendre",Essaouira El Jadida,2,,92,2
Vente Maison de 190 m2 à Marrakech,Marrakech,2 300 000 DH,190,,,"Maisons et Villas, à vendre",Jemaa El Fna,,,190,
Prix non spécifie,Anjra,PRIX NON SPÉCIFIÉ,3000,2,3,"Maisons et Villas, à vendre",Toute la ville,3,6-10 ans,180,2
Villa Taddart a vendre,Agadir,4 200 000 DH,,,4,"Maisons et Villas, à vendre",Taddart,,,260,
villa 600 m2 à Marrakech,Marrakech,PRIX NON SPÉCIFIÉ,600,4,4,"Maisons et Villas, à vendre",Route de Ouarzazate,1,6-10 ans,400,3
Immeuble route el jadida,Casablanca,PRIX NON SPÉCIFIÉ,117,0,1,"Maisons et Villas, à vendre",Beauséjour,,Neuf,117,0
"Tooop villa 314m2, 3 Niveaux, Sidi Maarouf Casa.",Casablanca,5 800 000 DH,314,3,6,"Maisons et Villas, à vendre",Sidi Maarouf,1,,792,4
Vente Maison de 550 m2 à Marrakech,Marrakech,6 700 000 DH,550,,,"Maisons et Villas, à vendre",Sidi Abbad,2,,550,
فاخر واسع وأنيق في الصخيرات، طابقين R2، محفظ.منزل,Skhirat,1 520 000 DH,,4,6,"Maisons et Villas, à vendre",Ain el Hayat,2,,278,2
Maison Neuve à vendre,Drargua,1 700 000 DH,330,3,5,"Maisons et Villas, à vendre",Toute la ville,2,Neuf,330,4
Villa jumelée avec piscine à Mandarouna Florida,Casablanca,5 200 000 DH,376,4,5,"Maisons et Villas, à vendre",Californie,1,11-20 ans,500,5
Villa avendre pied dans l’eau,Temara,7 500 000 DH,350,4,5,"Maisons et Villas, à vendre",Harhoura,3,1-5 ans,350,3
petite villa a vendre a coute lfath lazari 131 m,Oujda,750 000 DH,,3,3,"Maisons et Villas, à vendre",Hay fath,2,Neuf,131,2
Maison 121 m2 quartier essalam errahma,Casablanca,PRIX NON SPÉCIFIÉ,118,2,4,"Maisons et Villas, à vendre",Errahma,2,1-5 ans,121,2
maison 100 m a vendre a coute coulimo,Oujda,870 000 DH,100,4,5,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,100,2
Villa à Tanger -Superficie 285m² - Prix négociable,Tanger,4 000 000 DH,310,4,5,"Maisons et Villas, à vendre",Autre secteur,2,6-10 ans,285,2
maison a vendre a hay mouritanya 130 m,Oujda,780 000 DH,,3,7,"Maisons et Villas, à vendre",Centre Ville,2,6-10 ans,130,2
منزل للبيع في طريق العونية قرب شركة الحليب كوليمو,Oujda,860 000 DH,,3,3,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,90,1
Maison 88m2 RDC et 2 étages à Deroua,Deroua,2 100 000 DH,88,4,5,"Maisons et Villas, à vendre",Toute la ville,2,11-20 ans,314,4
Maison RDC plus 3 Ben Tachfine à Casablanca,Casablanca,3 400 000 DH,,4,6,"Maisons et Villas, à vendre",Hay Mohammadi,3,11-20 ans,94,2
Villas de luxe a Saidia,Saidia,3 000 000 DH,337,3,3,"Maisons et Villas, à vendre",Toute la ville,2,Neuf,160,2
petite villa a vendre a coute colimo 113 m,Oujda,850 000 DH,,3,5,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,113,1
Maison 260m² habitable 4Niveaux en vente Casablanc,Casablanca,2 800 000 DH,80,4,5,"Maisons et Villas, à vendre",Hay Hassani,2,11-20 ans,260,3
maison a vendre 81 m a coute coulimo,Oujda,780 000 DH,,3,4,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,81,1
Maison 150m2 R plus 3 étages Centre Maarif Casa.,Casablanca,6 500 000 DH,150,4,5,"Maisons et Villas, à vendre",Maarif,3,21+ ans,450,3
A vendre maison commerciale a tamssia agadir,Agadir Melloul,450 000 DH,120,2,3,"Maisons et Villas, à vendre",Toute la ville,,11-20 ans,110,1
مبنى للبيع في حومة السعادة,Tanger,970 000 DH,150,,3,"Maisons et Villas, à vendre",Girari,3,11-20 ans,50,
villa quartier calme saidia,Saidia,142 000 DH,100,2,3,"Maisons et Villas, à vendre",Toute la ville,1,11-20 ans,85,1
Maison 99m² RDC 3étages en Vente H Sadri Casa,Casablanca,2 400 000 DH,99,4,5,"Maisons et Villas, à vendre",Sidi Othmane,3,21+ ans,332,3
Vente d'une tres belle villa à souissi ambassadeur,Rabat,56 000 000 DH,4200,7+,9,"Maisons et Villas, à vendre",Souissi,,6-10 ans,1100,6
Maison titrée 80 m2 centre villes sid lmokhtar,Oujda,520 000 DH,80,1,3,"Maisons et Villas, à vendre",Centre Ville,1,,80,1
منزل تجاري جديد للبيع وبثمن جد مناسب .,Tiznit,PRIX NON SPÉCIFIÉ,100,4,4,"Maisons et Villas, à vendre",Toute la ville,2,1-5 ans,89,2
RAK-AL-1021 - Villa à vendre à El ouidane,Marrakech,8 100 000 DH,10400,6,6,"Maisons et Villas, à vendre",Autre secteur,,,10400,
منزل للبيع 91متر,Bejaad,900 000 DH,,1,2,"Maisons et Villas, à vendre",Toute la ville,1,Neuf,91,1
Splendide villa NEUVE de 2 mois sans vis à vis,Urgent,27 000 000 DH,2300,6,4,"Maisons et Villas, à vendre",Souissi,,,,3
JOLIE VILLA A RENOVER,Rabat,3 300 000 DH,289,1,4,"Maisons et Villas, à vendre",Mabella,2,,200,1
Apprt 244m2 1er étage Triangle d'Or Racine Casa,Casablanca,3 500 000 DH,,4,4,"Maisons et Villas, à vendre",Triangle d'Or,4,6-10 ans,244,2
MAV.SOUF.FTH,Oujda,750 000 DH,,2,3,"Maisons et Villas, à vendre",Hay fath,1,Neuf,103,1
4 appartement double garage,Deroua,1 350 000 DH,153,5,8,"Maisons et Villas, à vendre",Toute la ville,2,Neuf,153,4
Villa 2 faces située a Al Boustane calme,El Jadida,1 920 000 DH,1,3,5,"Maisons et Villas, à vendre",Al Boustane,2,11-20 ans,340,3
MAV.OUMKORA,Oujda,770 000 DH,,2,3,"Maisons et Villas, à vendre",Agdal,1,Neuf,100,1
Maison bien fini à 6min du centre ville,Marrakech,2 970 000 DH,321,4,6,"Maisons et Villas, à vendre",Sofia,2,1-5 ans,227,2
RAK-GU-1010 - Villa à vendre à Targa,Marrakech,3 500 000 DH,290,2,4,"Maisons et Villas, à vendre",Hay Targa,,,290,
RAK-GU-1018 - Villa à vendre à Azzouzia,Marrakech,1 950 000 DH,255,3,5,"Maisons et Villas, à vendre",Azzouzia,,,255,
Villa sans vis à vis sur grande parcelle,Marrakech,4 300 000 DH,6000,4,5,"Maisons et Villas, à vendre",Route de Fès,,,1,2
villa en vente avec piscine privé,El Jadida,2 200 000 DH,,4,4,"Maisons et Villas, à vendre",Autre secteur,3,Neuf,274,3
Charmante Villa avec deux jardins à Skhirat plage,Skhirat,2 800 000 DH,340,3,4,"Maisons et Villas, à vendre",Autre secteur,1,11-20 ans,257,2
ALH-SI-1051 - Villa à vendre à Ellawyat,Al Haouz,2 900 000 DH,860,2,2,"Maisons et Villas, à vendre",Toute la ville,,,860,
MAISON A VENDER COMMERCIAL OULAD OUJIH 80 M,Kénitra,1 550 000 DH,80,3,4,"Maisons et Villas, à vendre",Ouled Oujih,3,6-10 ans,80,4
Maison RDC plus 1 étage,Azemmour,350 000 DH,160,1,2,"Maisons et Villas, à vendre",Toute la ville,1,Neuf,80,1
TNG-TA-1004 - Villa à vendre à Bel Air - Val fleuri,Tanger,15 000 000 DH,1200,4,7,"Maisons et Villas, à vendre",Bel Air - Val fleuri,,,1200,
999999965545,Errachidia,630 000 DH,110,2,2,"Maisons et Villas, à vendre",Toute la ville,2,Neuf,110,1
4 منازل للبيع مطلين على البحر بأصيلة,Asilah,550 000 DH,46,2,2,"Maisons et Villas, à vendre",Toute la ville,1,Neuf,46,1
Vente de maison,Casablanca,PRIX NON SPÉCIFIÉ,84,3,5,"Maisons et Villas, à vendre",Oulfa,2,,76,4
Villa en bande résd. fermée à Ain Diab extension,Casablanca,4 600 000 DH,450,3,5,"Maisons et Villas, à vendre",Aïn Diab,1,21+ ans,450,4
Maison à chrifia proche hôtel Beldi,Marrakech,1 500 000 DH,,2,2,"Maisons et Villas, à vendre",Route d'Amezmiz,1,,500,2
villa neuve à souissi,Rabat,38 000 000 DH,2999,6,6,"Maisons et Villas, à vendre",Souissi,,1-5 ans,1200,4
Villa de luxe aux Jardins de l'océan 2,Dar Bouazza,8 900 000 DH,780,4,5,"Maisons et Villas, à vendre",Toute la ville,2,6-10 ans,600,4
Maison à vendre à Hay el Houda,Agadir,2 300 000 DH,,3,4,"Maisons et Villas, à vendre",El Houda,2,,100,2
MAV.COM.AND,Oujda,1 450 000 DH,289,3,3,"Maisons et Villas, à vendre",Andalous,1,6-10 ans,120,0
charmante villa au couer de sidi bouzid,El Jadida,1 900 000 DH,,3,4,"Maisons et Villas, à vendre",Centre,3,Neuf,274,3
Finition complet,Agadir,950 000 DH,112,4,5,"Maisons et Villas, à vendre",Autre secteur,3,,100,6
CMN-AC-1308 - Villa à vendre à Sidi Maarouf,Casablanca,4 380 000 DH,251,3,4,"Maisons et Villas, à vendre",Sidi Maarouf,,,251,
Villa de luxe côté de Labissa Bouskoura,Bouskoura,5 500 000 DH,643,3,4,"Maisons et Villas, à vendre",Bouskoura centre,1,6-10 ans,420,5
Villa dans résidence pieds dans l'eau,Dar Bouazza,3 900 000 DH,212,2,5,"Maisons et Villas, à vendre",Toute la ville,1,21+ ans,288,3
VILLA A VENDRE TAROUDANT,Taroudant,PRIX NON SPÉCIFIÉ,120,3,5,"Maisons et Villas, à vendre",Maihta,3,6-10 ans,270,2
SPACIEUSE VILLA DE 254M2 EN VENTE,Kénitra,2 500 000 DH,,2,4,"Maisons et Villas, à vendre",El Haouzia,1,Neuf,254,4
A VENDRE VILLA AVEC CAFE A SALE,Salé,5 999 999 DH,249,3,5,"Maisons et Villas, à vendre",Toute la ville,2,6-10 ans,200,2
Maison à terminer,Al Hoceima,340 000 DH,,,5,"Maisons et Villas, à vendre",Toute la ville,,6-10 ans,70,
Superbe maison comercial autorités,Marrakech,2 800 000 DH,320,3,6,"Maisons et Villas, à vendre",Route d'Ourika,2,Neuf,320,3
MAISON 3 ÉTAGES AVEC GARAGE,Rabat,4 200 000 DH,400,3,6,"Maisons et Villas, à vendre",Yacoub El Mansour,3,21+ ans,210,4
maison villa à vendre,Casablanca,3 700 000 DH,,4,4,"Maisons et Villas, à vendre",Sidi Maarouf,1,,330,4
Maison titré à vendre sur l'av. principale jirrari,Tanger,4 390 000 DH,150,5,7,"Maisons et Villas, à vendre",Jirrari,3,21+ ans,150,4
Vente Maison 5 pièces de 144 m2 à Temara,Temara,1 550 000 DH,144,2,3,"Maisons et Villas, à vendre",Massira 3,2,,144,
villa de luxe kamilia avec piscine 3 façades,Tamesna,PRIX NON SPÉCIFIÉ,,,,"Maisons et Villas, à vendre",Toute la ville,,,,
villa à vendre abdrahim Bouabid,Rabat,PRIX NON SPÉCIFIÉ,,3,4,"Maisons et Villas, à vendre",Hay Riad,2,Neuf,400,3
Maison libre en vente à mehdia,Kénitra,840 000 DH,100,2,2,"Maisons et Villas, à vendre",Autre secteur,1,Neuf,100,1
Vends maison 148 m2 El Beddouza (Oualidia),El Beddouza,750 000 DH,148,2,4,"Maisons et Villas, à vendre",Toute la ville,2,11-20 ans,148,2
Villa semi finie Rayahin casawya,Tamesna,PRIX NON SPÉCIFIÉ,,,,"Maisons et Villas, à vendre",Toute la ville,,,,
Villa angle 3facades à Yasmina,Mohammedia,3 400 000 DH,350,3,4,"Maisons et Villas, à vendre",Yassmine,3,,360,3
maison en vente kenitra alyonse,Kénitra,1 820 000 DH,290,3,4,"Maisons et Villas, à vendre",Autre secteur,3,Neuf,90,2
Vente Villa 5 pièces de 828 m2 à El Mansouria,El Mansouria,8 250 000 DH,828,3,3,"Maisons et Villas, à vendre",Toute la ville,1,,828,
Villa neuve à bir kassem souissi,Rabat,39 000 000 DH,3100,7+,8,"Maisons et Villas, à vendre",Souissi,,,,5
Des Appartements en Vente Oujda,Oujda,PRIX NON SPÉCIFIÉ,100,1,2,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,64,1
villa 350m najah choka vue sur la forêt,Tamesna,2 300 000 DH,,,4,"Maisons et Villas, à vendre",Toute la ville,,,300,
VILLA NEUVE ET MODERNE A HAY RYAD,Rabat,9 500 000 DH,545,2,4,"Maisons et Villas, à vendre",Hay Riad,3,Neuf,450,3
VILLA A VENDRE CASABLANCA,Casablanca,PRIX NON SPÉCIFIÉ,1200,5,4,"Maisons et Villas, à vendre",Anfa,1,11-20 ans,450,4
Maison en vente à jirari Tanger,Tanger,2 750 000 DH,630,4,6,"Maisons et Villas, à vendre",Jirrari,3,6-10 ans,630,4
Vente Maison 2 pièces de 94 m2 à Bouskoura,Bouskoura,3 000 000 DH,94,1,1,"Maisons et Villas, à vendre",Ville verte,2,,94,
Maison et villa 700m² en Vente à Casablanca,Casablanca,7 800 000 DH,700,5,5,"Maisons et Villas, à vendre",Aïn Chock,,,500,3
Vente maison,Kénitra,1 300 000 DH,125,3,4,"Maisons et Villas, à vendre",Al Maghrib Al Arabi,2,11-20 ans,117,2
Maison à vendre 318 m² à Kénitra,Kénitra,1 800 000 DH,318,4,6,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,270,2
Belle Villa 320m Najah 3 façade bien finie,Tamesna,2 100 000 DH,,,,"Maisons et Villas, à vendre",Toute la ville,,,,
MAGNIFIQUE MAISON RENOVEE DE 130 M2,Agadir,1 900 000 DH,,2,3,"Maisons et Villas, à vendre",Charaf,2,21+ ans,130,2
Vente Maison 10 pièces de 339 m2 à Casablanca,Casablanca,3 060 000 DH,339,,7,"Maisons et Villas, à vendre",Al Qods,,,339,
شقق للبيع و محل تجاري في بقعة بطور البناء,Casablanca,PRIX NON SPÉCIFIÉ,72,1,2,"Maisons et Villas, à vendre",Al Madina Aljadida,4,Neuf,64,1
Maison à vendre de 430 m² à Branes Kdima,Tanger,1 700 000 DH,430,4,8,"Maisons et Villas, à vendre",Branes Kdima,4,1-5 ans,430,4
Maison R2 et 2 garages,Bouznika,1 500 000 DH,,3,4,"Maisons et Villas, à vendre",Autre secteur,2,21+ ans,200,3
appartement de luxe fiha 70000dh da3m,Had Soualem,660 000 DH,141,2,3,"Maisons et Villas, à vendre",Toute la ville,3,Neuf,119,1
IMMEUBLE DE 4 APPARTEMENTS A SALE,Salé,1 700 000 DH,107,1,2,"Maisons et Villas, à vendre",Toute la ville,1,21+ ans,107,1
Villa à vendre avec grand jardin 640m² Laymoun,Casablanca,8 000 000 DH,640,5,6,"Maisons et Villas, à vendre",Laimoune,,11-20 ans,600,4
منزل تجاري للبيع,Marrakech,PRIX NON SPÉCIFIÉ,96,3,7,"Maisons et Villas, à vendre",Hay Massira,,,96,2
villa de maître 535 m² à vendre,Meknès,2 140 000 DH,,,5,"Maisons et Villas, à vendre",Bourj Moulay Omar,,,535,
villa,Fès,2 300 000 DH,199,3,5,"Maisons et Villas, à vendre",Route Ain Chkaf,2,Neuf,365,4
villa de luxe 560m isolé vue panoramique,Tamesna,4 500 000 DH,560,,5,"Maisons et Villas, à vendre",Toute la ville,,Neuf,500,
Duplex kasba 114m Bonne Affaire,Tamesna,570 000 DH,,,2,"Maisons et Villas, à vendre",Toute la ville,,,114,
Maison a Vendre Commercial a Bouchok Sale,Salé,PRIX NON SPÉCIFIÉ,370,6,6,"Maisons et Villas, à vendre",Said Hajji,3,Neuf,97,3
QUARTIER CHARAF MAISON 4 CHAMBRES,Agadir,1 800 000 DH,,2,4,"Maisons et Villas, à vendre",Charaf,2,11-20 ans,120,2
Maison 80m2 à vendre à Oulfa Hay Hassanimazoula,Casablanca,2 400 000 DH,79,4,5,"Maisons et Villas, à vendre",Oulfa,2,Neuf,80,4
Villa neuf250m2 à vendre à Bouskoura viktourya,Bouskoura,2 600 000 DH,390,5,5,"Maisons et Villas, à vendre",Bouskoura centre,1,Neuf,250,4
Belle Villa 5ch à vendre avec piscine Californie,Casablanca,8 000 000 DH,500,3,5,"Maisons et Villas, à vendre",Californie,1,11-20 ans,450,3
villa marina dor 3 niveaux casawya همزة,Tamesna,1 700 000 DH,,,4,"Maisons et Villas, à vendre",Toute la ville,,,300,
Villa Semifinie 1er main 344M2,Casablanca,2 800 000 DH,,2,4,"Maisons et Villas, à vendre",Oulfa,1,6-10 ans,344,1
VILLA avec Piscine AGADIR / TAROUDAN,Agadir,2 150 000 DH,300,2,2,"Maisons et Villas, à vendre",Autre secteur,,11-20 ans,120,1
Villa Haut Standing Riad Essalam,Béni Mellal,1 900 000 DH,287,4,5,"Maisons et Villas, à vendre",Toute la ville,3,Neuf,360,5
Maison et villa en Vente à Bouskoura,Bouskoura,4 300 000 DH,450,3,4,"Maisons et Villas, à vendre",Bouskoura centre,,,,3
منزل مستقل بشارع السباتا,Meknès,450 000 DH,75,2,4,"Maisons et Villas, à vendre",Sbata,2,21+ ans,130,1
Villa neuve a dar bouazza,Casablanca,2 600 000 DH,214,3,4,"Maisons et Villas, à vendre",Route d'Azemmour,3,Neuf,300,2
Vente Villa 8 pièces de 2445 m2 à El Jadida,El Jadida,10 000 000 DH,2445,5,5,"Maisons et Villas, à vendre",Autre secteur,,,2445,
MAISON À VENDRE MARRAKECH,Marrakech,1 800 000 DH,400,3,5,"Maisons et Villas, à vendre",M'Hamid,4,11-20 ans,100,5
Maison neuf 100m2 en vendre à Tiznit,Tiznit,PRIX NON SPÉCIFIÉ,130,3,4,"Maisons et Villas, à vendre",Toute la ville,1,Neuf,100,2
Maison a Ksar elkbir a vendre surface 57m,Ksar el-Kebir,PRIX NON SPÉCIFIÉ,57,3,2,"Maisons et Villas, à vendre",Toute la ville,3,Neuf,57,4
Vente Maison de 267 m2 à Casablanca,Casablanca,6 300 000 DH,267,,,"Maisons et Villas, à vendre",Autre secteur,3,,267,
Villa avec piscine à vendre à Agadir Illigh,Agadir,8 150 000 DH,,4,5,"Maisons et Villas, à vendre",Illigh,2,Neuf,835,4
Immeuble à vendre à Kelaat Sgharna,El Kelâa des Sraghna,PRIX NON SPÉCIFIÉ,100,5,4,"Maisons et Villas, à vendre",Toute la ville,2,,101,7+
Maison 124m2 de 3 magasin 4 appart et cave belbkar,Marrakech,3 600 000 DH,,,10+,"Maisons et Villas, à vendre",Daoudiate,,,124,4
Vente Maison 4 pièces de 287 m2 à Sidi Allal El ...,Sidi Allal El Bahraoui,1 150 000 DH,287,2,3,"Maisons et Villas, à vendre",Toute la ville,,,287,
Villa 300m2 à Riad salam près collège ELARAKI 2,Marrakech,2 600 000 DH,,4,4,"Maisons et Villas, à vendre",Route de Casablanca,,,300,0
Maison de luxe a vendre,Oujda,860 000 DH,,2,3,"Maisons et Villas, à vendre",Hay Lazaret,1,Neuf,110,2
Villa bouskoura prestigia,Bouskoura,PRIX NON SPÉCIFIÉ,380,2,3,"Maisons et Villas, à vendre",Bouskoura centre,2,6-10 ans,120,2
Villa à vendre bir Rami EST,Kénitra,3 500 000 DH,287,3,5,"Maisons et Villas, à vendre",Bir Rami Est,1,11-20 ans,287,2
TRIPLEX À VENDRE Oued Alian,Tanger,1 750 000 DH,,3,4,"Maisons et Villas, à vendre",Autre secteur,3,11-20 ans,173,2
Cabanon vue sur mer à vendre,Mohammedia,9 500 DH,,,2,"Maisons et Villas, à vendre",Corniche,,,421,
Maison a vendre à côté de aswak essalam Hay fath,Rabat,3 600 000 DH,,5,6,"Maisons et Villas, à vendre",Hay el Fath,3,,400,6
Maison commerciale,Casablanca,3 000 000 DH,512,2,5,"Maisons et Villas, à vendre",Oulfa,2,21+ ans,200,3
Maison de 632m² à vendre à Dar Tounssi Tanger,Tanger,5 000 000 DH,,2,3,"Maisons et Villas, à vendre",Autre secteur,2,,632,2
Vente Villa 6 pièces de 1193 m2 à Casablanca,Casablanca,17 500 000 DH,1193,4,5,"Maisons et Villas, à vendre",Californie,2,,1193,
Vente Villa 11 pièces de 372 m2 à Casablanca,Casablanca,6 000 000 DH,372,4,4,"Maisons et Villas, à vendre",Sidi Maarouf,,,372,
Maisons neufs à vendre à Marrakech,Marrakech,1 731 500 DH,,3,4,"Maisons et Villas, à vendre",Route de Fès,1,Neuf,218,2
villa a vendre a ville lhajeb Quartier el yassmin,Meknès,PRIX NON SPÉCIFIÉ,400,3,5,"Maisons et Villas, à vendre",Autre secteur,2,Neuf,230,2
Villa à vendre,Temara,5 000 000 DH,310,5,4,"Maisons et Villas, à vendre",Harhoura,2,1-5 ans,380,5
Maison R2 en vente à Salé,Salé,2 300 000 DH,360,4,7,"Maisons et Villas, à vendre",Hay Chmaou,,1-5 ans,360,3
Vente Maison 5 pièces de 126 m2 à Marrakech,Marrakech,3 400 000 DH,126,4,4,"Maisons et Villas, à vendre",Jemaa El Fna,,,126,
Vente maison à Témara,Rabat,3 200 000 DH,150,,6,"Maisons et Villas, à vendre",Autre secteur,,,320,
Villa à Assif près mosquée Anouar à Allal Fassi,Marrakech,2 850 000 DH,,3,5,"Maisons et Villas, à vendre",Assif,2,,200,1
Jolie Maisons à vendre centre ville d’Azemmour,Azemmour,650 000 DH,69,1,4,"Maisons et Villas, à vendre",Toute la ville,,11-20 ans,69,1
Vente Villa 8 pièces de 1068 m2 à Casablanca,Casablanca,14 500 000 DH,1068,5,5,"Maisons et Villas, à vendre",Palmier,,,1068,
Maison villa 560mh avec 4 appartements sur 4 étage,Marrakech,2 720 000 DH,288,4,10+,"Maisons et Villas, à vendre",Amerchich,,21+ ans,560,4
Vente Villa 5 pièces de 300 m2 à Casablanca,Casablanca,3 700 000 DH,300,2,3,"Maisons et Villas, à vendre",Autre secteur,,,300,
Maison à vendre 3 titres fonciers,Marrakech,3 400 000 DH,,,2,"Maisons et Villas, à vendre",M'Hamid,2,11-20 ans,180,2
Maison à vendre à la villette 161 m2,Casablanca,2 400 000 DH,,,10,"Maisons et Villas, à vendre",Hay Mohammadi,,,161,
عمارة للبيع من 8 شقق ب اهلا قرب مدرسة بنك الشعبي,Tanger,PRIX NON SPÉCIFIÉ,170,8,10+,"Maisons et Villas, à vendre",Ahlane,4,1-5 ans,160,8
Maison et villa en Vente à Rabat,Rabat,5 400 000 DH,,3,5,"Maisons et Villas, à vendre",Hay Riad,3,,290,3
Vente Villa 3 pièces de 449 m2 à Marrakech,Marrakech,6 800 000 DH,449,4,5,"Maisons et Villas, à vendre",Targa,,,449,
Vente Villa 8 pièces de 416 m2 à Bouskoura,Bouskoura,6 000 000 DH,416,7+,5,"Maisons et Villas, à vendre",Ville verte,,,416,
CMN-MA-1643 - Villa à vendre à Hermitage,Casablanca,2 850 000 DH,152,2,4,"Maisons et Villas, à vendre",Hermitage,,,152,
